CONTENT_LENGTH,URL_LENGTH,CHARACTER_SET,SPECIAL_CHARACTERS,SERVER,URL_IDENTIFICATION,COUNTRY,STATE,REGISTRATION_DATE,UPDATED_DATE,TCP_PACKETS_EXCHANGE,PORTS_DETECTED,REMOTE_IP,BYTES_TRANSFERRED,REMOTE_APP_PACKETS,SOURCE_APP_PACKETS,REMOTE_APP_BYTES,SOURCE_APP_BYTES,IP_PACKETS,DNS_PACKETS,WEBSITE_TYPE
NaN,23,UTF-8,6,NaN,M0_241,GB,NaN,09-May-08,27-Nov-15,19,14,6,1980,25,23,2276,5737,23,4,0
NaN,23,UTF-8,6,NaN,M0_285,America,WI,23-Apr-99,25-Jul-16,4,0,1,519,8,8,823,1138,8,4,0
13054,20,ISO-8859-1,7,Apache/2.2.15 (Red Hat),M0_869,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
NaN,23,UTF-8,6,cloudflare-nginx,M0_465,America,Oregon,04-Feb-97,08-Nov-14,10,0,5,1186,15,14,1476,1900,14,4,0
NaN,23,ISO-8859-1,6,nginx/1.12.0,M0_599,India,Andhra Pradesh,13-Feb-03,14-Feb-17,43,4,4,5738,50,47,6046,56926,47,4,0
240,23,iso-8859-1,6,Apache,M0_614,America,CA,17-May-08,18-May-16,8,0,2,723,11,10,871,1837,10,2,0
3985,23,ISO-8859-1,6,Apache,M0_622,Canada,AB,30-May-02,31-May-16,40,17,16,3285,45,46,3729,12003,46,6,0
324,23,us-ascii,6,Microsoft-HTTPAPI/2.0,M0_790,NaN,NaN,20-Oct-05,30-Sep-16,0,0,0,0,0,0,0,0,0,0,0
6173,24,ISO-8859-1,8,nginx/1.6.2,A0_175,NaN,NaN,NaN,NaN,2,0,1,132,5,2,132,318,2,0,1
319,24,iso-8859-1,9,Apache,A0_89,India,Tamil Nadu,NaN,NaN,7,0,2,720,10,9,868,1269,9,2,1
NaN,24,utf-8,6,openresty,M0_108,Luxembourg,NaN,07-Jan-06,14-Dec-16,84,54,5,10490,106,96,11482,106925,96,12,0
34,24,ISO-8859-1,6,NaN,M0_126,America,VA,05-Mar-96,27-May-16,65,3,5,6286,75,69,6596,90508,69,4,0
NaN,24,utf-8,7,nginx,M0_171,America,NY,23-Mar-95,03-Mar-17,14,6,6,1907,18,18,2171,5601,18,4,0
1778,24,utf-8,6,Heptu web server,M0_2301,NaN,NaN,10-Jan-98,11-Nov-12,7,7,3,618,9,7,618,562,7,0,0
NaN,24,utf-8,6,Pepyaka/1.11.3,M0_2313,NaN,NaN,27-Apr-16,29-Apr-17,6,3,2,528,4,6,528,244,6,0,0
324,24,us-ascii,6,Microsoft-HTTPAPI/2.0,M0_2315,Canada,quebec,07-Apr-11,08-Apr-17,6,4,4,564,8,6,564,508,6,0,0
224,24,iso-8859-1,8,Apache/2.2.22,M0_282,America,MA,26-Feb-09,06-Jan-17,19,2,4,2131,23,23,2441,9471,23,4,0
NaN,24,utf-8,6,nginx/1.8.0,M0_321,Canada,ON,03-Jul-02,02-Jul-16,12,2,7,984,16,16,1292,1839,16,4,0
318,24,iso-8859-1,7,Apache,M0_326,NaN,NaN,NaN,NaN,21,1,8,1606,13,25,1914,1276,25,4,0
NaN,24,utf-8,7,nginx/1.10.1 + Phusion Passenger 5.0.30,M0_483,NaN,NaN,21-Feb-95,19-Feb-17,16,6,8,2279,22,22,2729,2562,22,6,0
345,24,iso-8859-1,6,Apache/2,M0_543,America,New Mexico,04-Jul-07,05-Jul-16,19,5,9,1390,25,21,1540,3890,21,2,0
756,24,UTF-8,6,Apache,M0_656,Panama,PANAMA,02-Jul-98,06-Feb-17,23,3,15,2485,28,27,2799,9332,27,4,0
NaN,25,utf-8,6,Apache/2.2.29 (Amazon),M0_1163,Canada,British Columbia,10-Mar-05,04-Jan-17,0,0,0,0,0,0,0,0,0,0,0
NaN,25,utf-8,7,nginx,M0_1308,America,NY,23-Mar-95,03-Mar-17,0,0,0,0,0,0,0,0,0,0,0
14839,25,UTF-8,6,nginx,M0_1347,America,NY,15-Dec-04,13-Nov-16,0,0,0,0,0,0,0,0,0,0,0
324,25,us-ascii,6,Microsoft-IIS/7.5,M0_2127,America,Massachusetts,25-Feb-08,26-Feb-17,5,2,4,474,4,5,474,250,5,0,0
NaN,25,UTF-8,6,LiteSpeed,M0_2224,NaN,NaN,27-Jan-05,15-Nov-13,6,5,2,564,7,6,564,442,6,0,0
NaN,25,UTF-8,6,Apache,M0_468,America,California,14-Sep-06,09-Sep-16,12,0,5,1327,17,16,1615,14050,16,4,0
658,25,UTF-8,6,nginx,M0_568,NaN,NaN,NaN,NaN,11,3,4,1232,16,15,1530,9806,15,4,0
NaN,25,UTF-8,6,NaN,M0_577,Thailand,bangkok,30-Apr-10,12-Mar-17,18,7,9,1586,17,22,1898,1735,22,4,0
NaN,25,ISO-8859-1,6,Apache,M0_704,America,CA,22-Apr-97,22-Feb-17,36,17,9,4737,35,42,5173,10343,42,6,0
195,25,UTF-8,6,Apache,M0_781,GB,WEST MIDLANDS,16-Jul-16,22-Dec-16,0,0,0,0,0,0,0,0,0,0,0
324,25,us-ascii,6,Microsoft-HTTPAPI/2.0,M0_786,America,CO,27-Nov-16,01-Feb-17,0,0,0,0,0,0,0,0,0,0,0
NaN,25,ISO-8859-1,6,Apache,M0_886,America,California,30-Oct-09,27-Oct-16,0,0,0,0,0,0,0,0,0,0,0
NaN,26,UTF-8,8,nginx,A0_111,NaN,NaN,12-Mar-09,NaN,12,0,2,1052,14,14,1204,11935,14,2,1
NaN,26,utf-8,8,nginx,A0_15,NaN,NaN,09-Mar-00,NaN,9,1,2,878,12,11,1018,2242,11,2,1
4166,26,ISO-8859-1,7,nginx/1.12.0,A0_171,America,TEXAS,30-May-08,30-May-16,24,0,3,2508,30,30,2992,21098,30,6,1
962,26,ISO-8859-1,7,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,A0_68,GB,WC1N,25-Sep-00,18-Jul-16,9,0,4,842,12,11,994,2101,11,2,1
962,26,ISO-8859-1,7,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,A0_70,GB,WC1N,09-Apr-02,10-Apr-17,7,0,2,722,10,11,1016,2000,11,4,1
962,26,ISO-8859-1,7,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,A0_72,GB,WC1N,09-Apr-02,10-Apr-17,7,0,2,722,9,11,1036,1913,11,4,1
2688,26,utf-8,6,nginx,M0_1125,America,Kentucky,11-Jan-97,30-Apr-15,0,0,0,0,0,0,0,0,0,0,0
NaN,26,UTF-8,7,cloudflare-nginx,M0_1205,America,MD,11-Jun-00,03-Mar-17,0,0,0,0,0,0,0,0,0,0,0
NaN,26,UTF-8,6,nginx,M0_1321,Canada,ON,13-Feb-02,23-Feb-17,0,0,0,0,0,0,0,0,0,0,0
199,26,iso-8859-1,6,Apache,M0_1374,Panama,PANAMA,19-Dec-07,21-Nov-16,0,0,0,0,0,0,0,0,0,0,0
3548,26,UTF-8,6,Apache/2.4.25 (cPanel) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,M0_159,NaN,NaN,06-Nov-97,06-Nov-16,13,0,1,1378,19,19,1856,6226,19,6,0
NaN,26,utf-8,7,nginx,M0_173,America,NY,23-Mar-95,03-Mar-17,26,19,5,2727,19,30,2991,5765,30,4,0
0,26,NaN,6,tsa_c,M0_179,America,CA,21-Jan-00,08-Nov-16,43,39,3,6325,50,53,7063,32025,53,10,0
5426,26,ISO-8859-1,6,nginx/1.12.0,M0_2027,America,NEW YORK,27-Apr-09,27-Feb-17,9,7,4,702,10,9,702,696,9,0,0
NaN,26,utf-8,7,Apache/2.2.0 (Fedora),M0_2152,NaN,NaN,11-Oct-00,12-Dec-16,11,9,7,882,9,11,882,562,11,0,0
NaN,26,UTF-8,6,NaN,M0_2293,Canada,British Columbia,04-Aug-98,10-Apr-17,4,3,2,396,6,4,396,482,4,0,0
345,26,iso-8859-1,6,Apache/2,M0_256,America,FL,31-May-00,02-Apr-14,43,0,2,3252,47,47,3564,60076,47,4,0
NaN,26,utf-8,7,nginx,M0_258,America,NY,23-Mar-95,03-Mar-17,46,12,11,3783,18,50,4047,5605,50,4,0
NaN,26,utf-8,7,nginx,M0_297,America,NY,23-Mar-95,03-Mar-17,21,8,9,2373,27,25,2637,6199,25,4,0
NaN,26,utf-8,6,cloudflare-nginx,M0_660,America,Washington,23-Oct-99,13-Aug-16,7,0,2,984,12,11,1300,1650,11,4,0
NaN,26,ISO-8859-1,6,nginx/1.12.0,M0_793,America,Colorado,23-Jun-10,23-Apr-15,0,0,0,0,0,0,0,0,0,0,0
324,26,us-ascii,6,NaN,M0_859,America,TX,09-Mar-00,13-Feb-14,0,0,0,0,0,0,0,0,0,0,0
NaN,26,UTF-8,6,cloudflare-nginx,M0_883,America,PA,13-Apr-94,13-Mar-17,0,0,0,0,0,0,0,0,0,0,0
324,23,us-ascii,6,Microsoft-HTTPAPI/2.0,M0_1185,Sweden,NaN,16-Jun-00,18-May-16,0,0,0,0,0,0,0,0,0,0,0
13001,23,utf-8,6,nginx,M0_1369,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
3257,23,ISO-8859-1,7,Oracle-iPlanet-Web-Server/7.0,M0_1412,NaN,NaN,13-Oct-00,27-Apr-17,0,0,0,0,0,0,0,0,0,0,0
6748,23,ISO-8859-1,6,NaN,M0_2217,America,Arizona,31-Dec-99,09-Apr-17,7,4,5,630,4,7,630,244,7,0,0
NaN,23,UTF-8,7,nginx,M0_2240,NaN,NaN,NaN,NaN,24,5,8,1740,11,24,1740,696,24,0,0
NaN,23,NaN,6,NaN,M0_23,America,TX,30-Jul-96,04-Jul-16,19,7,6,2404,20,23,2684,6179,23,4,0
NaN,26,UTF-8,6,nginx,M0_928,America,LA,09-Jun-10,21-Jun-16,0,0,0,0,0,0,0,0,0,0,0
NaN,26,utf-8,6,nginx/1.12.0,M0_982,America,Arizona,29-Apr-09,08-Mar-17,0,0,0,0,0,0,0,0,0,0,0
8756,27,UTF-8,7,Apache/2.2.22 (Debian),A0_67,GB,WC1N,16-Jun-00,16-Feb-16,38,0,3,4207,45,44,4679,39662,44,6,1
193,27,UTF-8,7,Apache,A0_75,America,PA,19-Jan-15,03-Mar-17,9,0,1,1838,13,11,1992,4524,11,2,1
NaN,27,UTF-8,8,nginx,M0_1209,America,WA,11-Nov-15,13-Mar-17,0,0,0,0,0,0,0,0,0,0,0
324,27,us-ascii,6,Microsoft-HTTPAPI/2.0,M0_1353,America,CO,22-Mar-17,23-Mar-17,0,0,0,0,0,0,0,0,0,0,0
NaN,27,utf-8,6,openresty/1.11.2.1,M0_2085,America,TEXAS,03-Nov-09,04-Mar-17,3,3,1,366,5,3,366,306,3,0,0
NaN,27,UTF-8,6,Apache/2.2.15 (CentOS),M0_362,Australia,Queensland,19-Jul-10,20-Sep-16,40,13,14,3781,44,46,4253,34101,46,6,0
7967,27,UTF-8,6,Apache/2.4.25,M0_453,NaN,NaN,28-Apr-97,24-Apr-17,6,0,4,631,11,8,787,812,8,2,0
NaN,28,ISO-8859-1,7,cloudflare-nginx,M0_2182,Netherlands,P,30-Nov-99,06-Mar-17,8,4,6,696,10,8,696,634,8,0,0
324,28,us-ascii,6,Microsoft-IIS/7.5,M0_2228,America,Pennsylvania,11-Nov-96,27-Apr-15,5,3,3,474,6,5,474,364,5,0,0
8578,28,utf-8,7,Apache,M0_229,Canada,ON,02-Oct-95,30-Sep-16,21,7,5,2830,25,29,3400,6137,29,8,0
10576,28,UTF-8,6,Apache,M0_2309,India,UTTAR PRADESH,28-Jun-11,02-Mar-17,14,9,2,2094,12,14,2094,8019,14,0,0
324,28,us-ascii,7,Microsoft-IIS/7.5,M0_310,NaN,NaN,16-Aug-16,26-Mar-17,17,1,7,1848,24,23,2322,2167,23,6,0
12846,28,UTF-8,7,Apache/2.4.25 (Amazon) PHP/7.0.14,M0_332,America,NC,09-May-00,11-Oct-16,17,12,3,2314,27,23,2740,21419,23,6,0
6666,28,UTF-8,7,GSE,M0_438,America,CA,31-Jul-00,29-Jun-16,66,5,11,6311,64,70,6633,63634,70,4,0
445,28,iso-8859-1,6,Apache/2.4.23 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,M0_563,America,FL,14-May-99,02-Apr-14,28,5,8,2324,33,30,2482,24662,30,2,0
NaN,28,UTF-8,8,Apache,M0_638,America,Arizona,24-Apr-09,18-Mar-17,6,0,3,632,8,8,776,593,8,2,0
324,28,us-ascii,7,Microsoft-HTTPAPI/2.0,M0_695,NaN,NaN,NaN,NaN,33,26,4,3590,48,39,4064,30057,39,6,0
NaN,28,utf-8,6,Pepyaka/1.11.3,M0_835,America,NY,06-Aug-98,07-Nov-14,0,0,0,0,0,0,0,0,0,0,0
NaN,28,utf-8,6,NaN,M0_96,America,CA,22-Feb-96,16-Jan-15,26,19,3,2632,36,30,2916,27404,30,4,0
18438,28,UTF-8,6,nginx,M0_981,America,California,15-Jun-07,12-May-15,0,0,0,0,0,0,0,0,0,0,0
7314,29,ISO-8859-1,7,Apache,A0_106,America,MD,21-Sep-09,09-Aug-16,34,0,2,2934,40,40,3416,34995,40,6,1
324,29,us-ascii,7,Microsoft-HTTPAPI/2.0,A0_74,Uganda,kireka,09-Apr-02,18-Apr-17,5,0,2,593,8,7,751,1128,7,2,1
NaN,29,ISO-8859-1,6,Apache,M0_1044,America,CA,22-Apr-97,22-Feb-17,0,0,0,0,0,0,0,0,0,0,0
0,29,NaN,6,tsa_c,M0_1051,America,CA,21-Jan-00,08-Nov-16,0,0,0,0,0,0,0,0,0,0,0
9136,29,ISO-8859-1,8,Apache,M0_1095,America,CA,20-Jan-95,22-Nov-16,0,0,0,0,0,0,0,0,0,0,0
5019,29,UTF-8,6,Apache,M0_1096,America,IL,28-Mar-06,24-Feb-17,0,0,0,0,0,0,0,0,0,0,0
NaN,29,utf-8,7,nginx,M0_1117,America,NY,23-Mar-95,03-Mar-17,0,0,0,0,0,0,0,0,0,0,0
210,29,iso-8859-1,6,Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,M0_1154,America,Missouri,28-Sep-07,28-Mar-17,0,0,0,0,0,0,0,0,0,0,0
8654,29,UTF-8,6,Apache/2.2.22 (Debian),M0_1287,Japan,Osaka,04-Feb-17,04-Feb-17,0,0,0,0,0,0,0,0,0,0,0
238,29,iso-8859-1,7,Apache/2.2.22 (Ubuntu),M0_1408,Canada,QC,07-Mar-96,09-Mar-17,0,0,0,0,0,0,0,0,0,0,0
26856,29,ISO-8859-1,6,Apache,M0_170,NaN,NaN,04-Apr-03,05-Apr-17,26,6,5,2519,30,30,2851,22379,30,4,0
324,29,us-ascii,6,Microsoft-HTTPAPI/2.0,M0_2024,America,Michigan,26-Aug-15,26-Aug-16,12,8,6,900,9,12,900,568,12,0,0
NaN,29,UTF-8,7,Apache/2.2.22,M0_2089,Canada,AB,22-Jul-04,23-Jun-16,709,708,3,2362906,837,709,2362906,83056,709,0,0
10210,29,UTF-8,6,Apache,M0_2123,America,CA,30-Nov-04,07-Mar-17,5,4,2,486,7,5,486,542,5,0,0
13684,29,ISO-8859-1,6,Apache,M0_2128,America,Maryland,05-Mar-08,14-Apr-16,15,8,7,1134,9,15,1134,605,15,0,0
324,29,us-ascii,6,NaN,M0_2166,Canada,Ontario,08-May-03,09-May-16,3,3,1,366,5,3,366,306,3,0,0
770,29,iso-8859-1,6,nginx/1.12.0,M0_2242,America,South Carolina,02-Nov-10,20-Oct-15,5,3,3,486,7,5,486,436,5,0,0
6813,29,UTF-8,8,Apache/2.4.25,M0_2266,America,Texas,23-May-06,13-Jul-16,17,9,10,1249,15,17,1249,1062,17,0,0
324,29,us-ascii,6,Microsoft-HTTPAPI/2.0,M0_259,NaN,NaN,02-Jul-98,05-Jul-16,34,9,6,2861,26,38,3229,15260,38,4,0
34,29,ISO-8859-1,6,NaN,M0_44,America,California,02-Dec-98,02-Dec-16,10,2,9,612,14,12,772,918,12,2,0
NaN,29,ISO-8859-1,7,Apache,M0_448,America,CA,22-Apr-97,22-Feb-17,32,21,8,4561,36,38,4997,10429,38,6,0
20404,29,UTF-8,8,GSE,M0_499,America,CA,31-Jul-00,29-Jun-16,33,6,5,3533,35,37,3859,46688,37,4,0
NaN,29,UTF-8,8,Tengine,M0_626,China,Zhejiang,15-Apr-99,20-Jun-12,28,0,5,3183,33,36,3777,24455,36,8,0
7159,29,UTF-8,6,Apache/2.4.18 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,M0_642,America,Arizona,30-May-03,10-Jul-15,21,6,11,1515,18,23,1675,1334,23,2,0
NaN,29,utf-8,6,Apache/2.2.15 (CentOS),M0_726,America,New Mexico,10-Jan-02,26-Feb-14,24,1,3,2195,30,29,2515,55576,29,4,0
388,29,iso-8859-1,6,Apache,M0_887,America,New York,17-Mar-06,14-Aug-13,0,0,0,0,0,0,0,0,0,0,0
199,29,ISO-8859-1,6,Apache/2,M0_894,NaN,NaN,01-Mar-99,07-Mar-13,0,0,0,0,0,0,0,0,0,0,0
324,29,us-ascii,8,Microsoft-HTTPAPI/2.0,M0_920,Australia,QLD,01-Jul-15,04-Mar-16,0,0,0,0,0,0,0,0,0,0,0
NaN,29,ISO-8859-1,6,nginx/1.12.0,M0_942,Canada,ON,22-Jan-06,22-Jan-17,0,0,0,0,0,0,0,0,0,0,0
NaN,29,utf-8,6,NaN,M0_978,America,CA,22-Feb-96,16-Jan-15,0,0,0,0,0,0,0,0,0,0,0
177,30,iso-8859-1,8,Apache,A0_112,NaN,NaN,NaN,NaN,7,0,2,666,9,9,826,1094,9,2,1
NaN,30,utf-8,6,Apache/2.4.10 (Debian),M0_1052,Sweden,NaN,06-Mar-96,28-Oct-13,0,0,0,0,0,0,0,0,0,0,0
199,30,iso-8859-1,6,Apache/2.4.6 (CentOS) PHP/5.6.8,M0_1388,America,MA,08-Feb-13,15-Mar-17,0,0,0,0,0,0,0,0,0,0,0
NaN,30,utf-8,7,nginx,M0_160,America,NY,23-Mar-95,03-Mar-17,14,9,3,1918,17,18,2182,5546,18,4,0
NaN,30,ISO-8859-1,6,NaN,M0_169,America,CA,29-Mar-97,29-Nov-16,62,52,12,8974,69,76,10006,30726,76,14,0
NaN,30,ISO-8859-1,6,Apache,M0_209,America,CA,22-Apr-97,22-Feb-17,22,17,2,3914,27,28,4350,9833,28,6,0
NaN,30,ISO-8859-1,6,Sun-ONE-Web-Server/6.1,M0_2097,NaN,NaN,15-Apr-03,19-Feb-16,18,17,5,1188,19,18,1188,1451,18,0,0
NaN,30,NaN,6,Apache/2.4.18 (Unix) OpenSSL/1.0.2e Communique/4.1.10,M0_2206,America,WI,24-Oct-96,19-Oct-16,6,4,4,552,9,6,552,564,6,0,0
14703,30,UTF-8,6,Apache,M0_2282,America,Texas,04-Aug-98,04-Sep-13,2,2,1,276,4,2,276,250,2,0,0
8751,30,UTF-8,6,nginx,M0_330,America,FL,30-Apr-16,04-Oct-16,15,2,6,1528,17,19,1860,5586,19,4,0
324,30,us-ascii,6,Microsoft-HTTPAPI/2.0,M0_348,America,NJ,30-Dec-99,08-Jan-16,90,6,14,8646,100,92,8808,95659,92,2,0
NaN,30,ISO-8859-1,7,Apache,M0_369,America,CA,22-Apr-97,22-Feb-17,31,26,2,4412,37,37,4848,27412,37,6,0
NaN,30,utf-8,6,NaN,M0_560,America,CA,22-Feb-96,16-Jan-15,31,23,3,3605,41,39,4183,34388,39,8,0
NaN,30,ISO-8859-1,6,NaN,M0_639,America,CA,29-Mar-97,29-Nov-16,76,47,12,9007,44,88,9891,23985,88,12,0
350,30,utf-8,7,AmazonS3,M0_711,America,Arizona,13-Jul-01,26-Apr-15,23,1,10,1902,26,27,2194,2764,27,4,0
NaN,30,ISO-8859-1,7,Apache/1.3.37 (Unix) mod_perl/1.29 mod_ssl/2.8.28 OpenSSL/0.9.7e-p1,M0_73,America,GA,29-May-96,21-Mar-17,48,3,6,3418,48,52,3706,57377,52,4,0
NaN,30,UTF-8,8,cloudflare-nginx,M0_824,America,CA,25-Feb-04,16-Jan-16,0,0,0,0,0,0,0,0,0,0,0
NaN,30,utf-8,6,NaN,M0_891,America,CA,22-Feb-96,16-Jan-15,0,0,0,0,0,0,0,0,0,0,0
NaN,30,ISO-8859-1,7,Apache,M0_931,America,CA,22-Apr-97,22-Feb-17,0,0,0,0,0,0,0,0,0,0,0
324,31,us-ascii,7,Microsoft-IIS/7.5,A0_73,America,CA,09-Apr-02,20-Mar-17,7,0,2,707,11,11,1031,1018,11,4,1
604,31,utf-8,8,ATS,M0_1028,America,CA,18-Jan-95,26-Aug-15,0,0,0,0,0,0,0,0,0,0,0
287,31,iso-8859-1,7,Apache/2.2.27 (CentOS),M0_1114,NaN,NaN,25-Oct-14,26-Oct-16,0,0,0,0,0,0,0,0,0,0,0
NaN,31,ISO-8859-1,7,Apache,M0_1127,America,CA,22-Apr-97,22-Feb-17,0,0,0,0,0,0,0,0,0,0,0
65815,31,utf-8,8,Apache,M0_1241,America,MO,20-May-96,24-Oct-16,0,0,0,0,0,0,0,0,0,0,0
NaN,31,ISO-8859-1,6,NaN,M0_140,America,CA,29-Mar-97,29-Nov-16,65,53,14,8568,70,77,9452,26049,77,12,0
NaN,31,UTF-8,6,Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips DAV/2 mod_bwlimited/1.4,M0_2158,NaN,NaN,14-Jul-00,22-Mar-17,9,3,7,738,12,9,738,766,9,0,0
4075,31,utf-8,7,CherryPy/3.6.0,M0_2278,Canada,ON,01-Dec-96,30-Nov-16,4,3,2,432,6,4,432,372,4,0,0
287,31,iso-8859-1,8,Apache/2.2.15 (CentOS),M0_263,India,HR,11-Nov-00,03-May-12,5,0,1,593,9,9,929,955,9,4,0
NaN,31,utf-8,7,nginx,M0_501,America,NY,23-Mar-95,03-Mar-17,28,13,13,2773,32,32,3037,6566,32,4,0
5132,31,UTF-8,7,Apache/2.2.15 (Red Hat),M0_504,America,FL,04-Sep-04,24-Aug-16,27,0,3,2743,33,33,3181,43878,33,6,0
324,31,us-ascii,6,Microsoft-IIS/7.5,M0_597,America,Missouri,09-Sep-05,10-Sep-16,23,1,4,2262,28,29,2736,16553,29,6,0
11506,27,ISO-8859-1,7,Apache,M0_966,America,FL,04-Mar-96,07-Jan-15,0,0,0,0,0,0,0,0,0,0,0
NaN,28,UTF-8,9,Apache/2.2.15 (CentOS),A0_21,Russia,MOSCOW,24-Oct-07,22-Oct-16,5,0,1,592,9,7,732,1062,7,2,1
324,28,us-ascii,7,Microsoft-HTTPAPI/2.0,A0_94,America,FL,21-Oct-04,14-Oct-14,5,0,2,556,9,9,860,1154,9,4,1
39036,28,utf-8,8,nginx,M0_1020,[u'GB'; u'United Kingdom'],UK,2002-03-20T23:59:59.0Z,2017-03-07T22:02:38.0Z,0,0,0,0,0,0,0,0,0,0,0
NaN,28,ISO-8859-1,6,NaN,M0_1038,America,CA,29-Mar-97,29-Nov-16,0,0,0,0,0,0,0,0,0,0,0
NaN,28,iso-8859-1,7,Apache,M0_1357,France,NaN,10-Jun-08,09-Jun-16,0,0,0,0,0,0,0,0,0,0,0
NaN,28,ISO-8859-1,7,cloudflare-nginx,M0_1413,Netherlands,P,30-Nov-99,06-Mar-17,0,0,0,0,0,0,0,0,0,0,0
NaN,28,us-ascii,7,NaN,M0_2061,America,NH,30-Aug-04,18-Aug-16,6,4,3,552,8,6,552,612,6,0,0
324,31,us-ascii,6,Microsoft-HTTPAPI/2.0,M0_65,NaN,NaN,NaN,NaN,18,14,3,2201,23,22,2543,7756,22,4,0
NaN,31,ISO-8859-1,6,Apache,M0_658,NaN,NaN,22-Apr-97,22-Feb-17,23,17,3,3981,27,29,4417,9867,29,6,0
324,31,us-ascii,8,Microsoft-HTTPAPI/2.0,M0_698,America,FL,07-Aug-96,14-May-15,103,0,3,7073,113,105,7217,179439,105,2,0
NaN,31,UTF-8,6,Apache,M0_705,America,MD,30-Dec-05,05-Nov-15,13,8,8,1355,16,16,1519,1145,16,2,0
NaN,31,ISO-8859-1,7,NaN,M0_761,America,CA,29-Mar-97,29-Nov-16,57,45,12,8136,64,69,9020,25686,69,12,0
22004,31,utf-8,7,Apache,M0_850,America,CA,04-Apr-06,03-Mar-17,0,0,0,0,0,0,0,0,0,0,0
NaN,31,ISO-8859-1,6,Apache,M0_945,America,CA,22-Apr-97,22-Feb-17,0,0,0,0,0,0,0,0,0,0,0
345,31,iso-8859-1,7,Apache/2,M0_992,America,Texas,25-May-00,24-May-16,0,0,0,0,0,0,0,0,0,0,0
643,32,UTF-8,11,nginx,A0_136,NaN,NaN,NaN,NaN,22,1,5,2783,26,30,3367,3824,30,8,1
637,32,UTF-8,9,nginx,A0_140,NaN,NaN,NaN,NaN,14,1,4,1457,16,20,1881,3229,20,6,1
